Titulo,Check,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Roteiristas,Censura,País,Idiomas,Episodios
The Chosen One,tv series,9048368,5.8,636.0,"Renan Tenca, Paloma Bernardi, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Tuna Dwek, Kiko Vianello, Lourinelson Vladmir, Aury Porto, Ricardo Félix Rojas, Eddie Garvar, Francisco Gaspar, Glauber Amaral, Astrea Lucena, Adriano Paixão, Jill Galbraith, Jeremy S. Walker, Bernardo Matos, Mariana Amâncio, Giselle Itié, Tonantzin Carmelo, Leonardo Ventura, Alessia Krisanovski, José Augusto Queiroz, Ayana Duailibe, João Carlos Andreazza, Ana Nero, Brian Castro, Maria Do Carmo Soares, Iva Oliveira, Pedro Augusto, Cesar Pezzuoli, Eduarda Zampoli, Laerte Késsimos, Paulo Azevedo, Tsupto Xavante, Tião D'Ávila, Fernando Teixeira, Paulo Marcello, Bruna Anauate, Fafá Rennó, Cleudeni Milhomem, Venecy Santos, Thalys Judson, Gustavo Corasini, Lino Camilo, Viviane Esteves, João Vilela, Allan Henrique","Mystery, Thriller",40,25.0,2019.0,2019-06-28,"Pablo Cruz, Raphael Draccon, Raphael Draccon","Argentina:16, Brazil:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, United Kingdom:15",Brazil,Portuguese,6.0
Osmosis,tv series,7043380,5.8,2851.0,"Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoel Dupont, Stéphane Pitti, Luana Silva, Yuming Hey, Philypa Phoenix, Fabien Ducommun, Lena Lapres, Jeremy Lewin, Jimmy Labeeu, Vincent Renaudet, Lionel Lingelser, Waly Dia, Suzanne Rault-Balet, Aurélia Petit, Laure-Lucile Simon, Dimitri Storoge, Pierre Hancisse, Sarah-Jane Sauvegrain, Camille-François Nicol, Emilie Roumy, Arnaud Simon, Clémence Boisnard, Viktor Klépal, Christelle Cornil, Romane Rohmer, Sabrina Aliane, Aubin Risse, Guillaume Duhesme, Bob Martet, Brieuc Leguern, Didier Sauvegrain, Salomé Partouche, Chloé Renaud, Margot Marie Ménéguz, Diong-Kéba Tacu, Arthur Dupont, Vinciane Millereau, Erynn Meriaux, Thibaut Guillemaille, Loïc Riewer, Julien Buchy, Thomas Silberstein, Eddie Chignara, Victor Le Blond, Pierre Duprat, Mireille Perrier, Kevin Garnichat","Romance, Sci-Fi",55,24.0,2019.0,2019-03-29,"Gabriel Chiche, Louis Chiche, William Chiche","Brazil:16::(self-applied), France:13::(self-applied), Germany:12::(internet), India:18::(self-applied), Italy:VM14, Netherlands:12, Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:13, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",France,French,8.0
Puerta 7,tv series,9170386,5.7,516.0,"Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Antonio Grimau, Daniel Aráoz, Ignacio Quesada, Daniel Valenzuela, Meli Giostra, Roque Favale, Alina Moine, Mónica Ayos","Crime, Drama, Thriller",45,14.0,2020.0,2020-02-21,"Patricio Vega, Martin Zimmerman, Martin Zimmerman","Argentina:18, Australia:M, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, United Kingdom:15, United States:TV-MA",Argentina,Spanish,8.0
Holiday Secrets,tv mini series,11243536,6.5,1032.0,"Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Hans-Uwe Bauer, Dennis Herrmann, Golo Euler, Barbara Nüsse, Lorna zu Solms, Anita Vulesica, Tilda Jenkins, Maik Solbach, Thilo Prothmann, Merlin Rose, Lisa Hagmeister, Eva Bay, Laura von Beloseroff, Emilie Neumeister, Matti Schmidt-Schaller, Ludwig Senger, Lucas Lentes, Esther Esche, Csilla Bakonyi, Josefine Voss",Drama,NA,7.0,2019.0,2019-11-20,Katharina Eyssen,"Argentina:13, Singapore:PG13",Germany,German,3.0
Mindhunter,tv series,5290382,8.6,246759.0,"Jonathan Groff, Holt McCallany, Anna Torv, Sonny Valicenti, Stacey Roca, Hannah Gross, Joe Tuttle, Zachary Scott Ross, Cotter Smith, Albert Jones, Lauren Glazier, Michael Cerveris, Dohn Norwood, Gareth Williams, June Carryl, Cameron Britton, Nate Corddry, Sierra Aylina McClain, Siovhan Christensen, Katherine Banks, Alex Morf, Erik Jensen, Christopher Grove, Regi Davis, Christopher Livingston, Blythe Howard, Darrin Giossi, Bryan McClure, Crystal Lee Brown, Patrick Jordan, Joseph Cross, Marc Kudisch, Happy Anderson, Duke Lafoon, Jesse C. Boyd, Trey Teufel, Peter Murnik, Don O. Knowlton, Michael Park, George R. Sheffey, Brent Sexton, Paul Carafotes, Drew Seltzer, Megan McQuillan, Bobby Liga, Lila Lazarus, Emily Bergl, Michelle Davidson, Ricardo Miguel Young, Tammy Felice","Crime, Drama, Thriller",60,25.0,2017.0,2017-10-13,"John Douglas, Mark Olshaker, Joe Penhall","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:16, Canada:TV-MA::(self-applied), Chile:16+::(Netflix self-rating), France:16, Germany:16, India:16+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA, Mexico:TV-MA::(self-applied), Netherlands:12, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:12, Russia:18+, Singapore:M18::(season 1), Singapore:R21::(series level), South Korea:18, Spain:16, Sweden:16+, Turkey:16+::(self-applied), United Kingdom:18, United States:TV-MA, United Arab Emirates:16+::(self-applied)",United States,English,10.0
Samantha!,tv series,6626676,6.7,506.0,"Emanuelle Araújo, Douglas Silva, Sabrina Nonata, Cauã Gonçalves, Duda Gonçalves, Daniel Furlan, Ary França, Lorena Comparato, Enzo Oviedo, Sidney Alexandre, Gretchen, Rodrigo Pandolfo, Zezeh Barbosa, Fernanda Matias, Maurício Xavier, Alessandra Maestrini, Cris Nicolotti, Shani Atias, Cali DiCapo, Alice Braga, Curt Bonnem, Paulo Tiefenthaler, Rosaly Papadopol, Luciana Vendramini, Marlene Bregman, Marco Gonçalves, Renata Augusto, Carol Melgaço, Felipe Abib, Shirley Cruz, Lulu Pavarin, Taiguara Nazareth, Carlos Meceni, Giovanna Chaves, Felipe Montanari, Lavínia Panunzio, Jean Pierre Noher, Gilda Nomacce, Fernanda Viacava, Cláudia Missura, Erick Ryu, Fabio Marcoff, Rita Moraes, Amanda Lyra, Mariana Xavier, Marcelo Várzea, Mirella Façanha, Fernando Sampaio, Felipe Braga, Ivo Müller",Comedy,27,4.0,2018.0,2018-07-06,"Felipe Braga, Rafael Lessa, Rafael Lessa","Brazil:14, Netherlands:12, Norway:12::(Netflix self-rating), Philippines:16+::(self-applied), Singapore:M18, South Korea:18, Spain:13",Brazil,Portuguese,7.0
YG Future Strategy Office,tv mini series,8129694,6.9,199.0,"Kim Ga-eun, Amy Aleha, Seung-Hyun Lee, Kim Jinwoo, Se-Bin Son, Byungjae Yoo, Jai-jin Lee",Comedy,NA,7.0,2018.0,2018-10-05,Seok-min Kim,"Australia:M, Singapore:NC16, South Korea:15, United Kingdom:15, United States:TV-MA",South Korea,NA,8.0
Betaal,tv series,10651790,5.4,8632.0,"Vineet Kumar Singh, Aahana Kumra, Suchitra Pillai, Jatin Goswami, Siddharth Menon, Manjiri Pupala, Yashwant Wasnik, Savita Bajaj, Jitendra Joshi, Syna Anand, Meenal Kapoor, Ankur Vikal, Richard Dillane, Krishna Singh Bisht, Swapnil kiiran Kotriwar, Pawan Singh, Akhilesh Unnithan, Ratan Nag, Shrishti Fadtare, Tanay Khemani, Patrick Graham, Pankaj Upadhyay, Virendra Singh","Action, Horror, Thriller",46,25.0,2020.0,2020-05-24,"Adhir Bhat, Patrick Graham, Patrick Graham","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:16+::(self-applied), Singapore:NC16, South Korea:18, Spain:16::(self-applied), Sweden:16+::(self-applied), Turkey:16+::(self-applied), United Kingdom:15::(self-applied), United States:TV-MA::(self-applied)",India,Hindi,4.0
Dolly Parton's Heartstrings,tv series,8509922,7.6,2028.0,"Dolly Parton, Sarah Shahi, Kathleen Turner, Julianne Hough, Colin O'Donoghue, Melissa Leo, Robert Taylor, Delta Burke, Patricia Wettig, Ginnifer Goodwin, Kimberly Williams-Paisley, Rochelle Aytes, Holly Taylor, Willa Fitzgerald, Timothy Busfield, Ben Lawson, Andy Mientus, Dallas Roberts, Tom Brittney, David Denman, Jessica Collins, Katie Stevens, Kyle Bornheimer, Shane Paul McGhie, Brooke Elliott, Virginia Gardner, Vanessa Rubio, Tammy Lynn Michaels, Michael J. Willett, Tyler Crumley, Michele Weaver, Mary Lane Haskell, Tim Reid, Camryn Manheim, Braxton Bjerken, Mac Davis, Aidan Langford, Mary Donnelly Haskell, Wynn Everett, Bellamy Young, Gerald McRaney, Ray McKinnon, Mark Ashworth, Ed Amatrudo, Sara Boustany, Scott Reeves, Adam Aalderks, Alex Van, Aria Brooks, Catherine Dyer","Comedy, Drama, Music, Musical",62,25.0,2019.0,2019-11-20,"Thomas Ian Griffith, Gary Grubbs, Mary Page Keller","Argentina:13, Brazil:12::(self-applied), France:13::(self-applied), Germany:12::(self-applied), Italy:T, Netherlands:12, Philippines:13+::(self-applied), Singapore:R21, South Korea:15, Sweden:13::(self-applied), United Kingdom:15, United States:TV-14",United States,English,8.0
Jessica Jones,tv series,2357547,7.9,201323.0,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss, John Ventimiglia, David Tennant, Rebecca De Mornay, J.R. Ramirez, Janet McTeer, Wil Traval, Benjamin Walker, Jeremy Bobb, Tiffany Mack, Rachel McKeon, Mike Colter, Leah Gibson, Susie Abromeit, Aneesh Sheth, Erin Moriarty, Sarita Choudhury, Robin Weigert, Kevin Chacon, Nichole Yannetty, Terry Chen, Callum Keith Rennie, Hal Ozsan, Jessica Frances Dukes, Jamie Neumann, Michael Siberry, Maury Ginsberg, Lisa Tharps, Colby Minifie, Ryan Farrell, Paul Pryce, Kieran Mulcare, Eden Marryshow, Tina Chilip, Clarke Peters, Elizabeth Cappuccino, Chris McGinn, Danielle Ferland, Gillian Glasco, Lisa Emery, John Benjamin Hickey, Angel Desai, Joseph Ragno, Matt Weiss, Parisa Fitz-Henley, Tijuana Ricks, Anthoula Katsimatides","Action, Crime, Drama, Sci-Fi, Thriller",56,25.0,2015.0,2015-10-10,"Brian Michael Bendis, Michael Gaydos, Melissa Rosenberg","Argentina:16, Australia:MA15+, Brazil:16, Canada:13+::(Quebec), France:16, Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Malaysia:18, Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Russia:18+, Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,13.0
