Nome,DataEstreia,CountPre,CountDurante,CountPos,CountTotal,IMDBid
The Chosen One,2019-06-28,419,472,1111,2002,9048368
Osmosis,2019-03-29,936,937,1959,3832,7043380
Puerta 7,2020-02-21,280,514,907,1701,9170386
Holiday Secrets,2019-11-20,13,49,93,155,11243536
Mindhunter,2017-10-13,4980,7459,30394,42833,5290382
Samantha!,2018-07-06,610,805,1293,2708,6626676
YG Future Strategy Office,2018-10-05,740,1003,301,2044,8129694
Betaal,2020-05-24,782,1557,879,3218,10651790
Dolly Parton's Heartstrings,2019-11-22,772,1139,1695,3606,8509922
Jessica Jones,2015-11-20,38444,29139,44201,111784,2357547
Warrior Nun,2020-07-02,1193,3437,11436,16066,9059350
Abla Fahita - Drama Queen,2021-03-15,89,73,44,206,11570224
Brotherhood,2019-10-25,,,,,8905964
Vampires,2020-03-20,,,,,11829316
Santa Clarita Diet,2017-02-03,4318,5316,10008,19642,5580540
The Rain,2018-05-04,3072,3421,12215,18708,6656238
Unorthodox,2020-03-26,268,1814,19680,21762,9815454
Bhaag Beanie Bhaag,2020-12-04,151,217,111,479,12775836
Tiny Pretty Things,2020-12-14,498,2298,5758,8554,10767748
The Crew,2021-02-15,656,2403,2182,5241,10971022
Gypsy,2017-06-30,3064,2276,15231,20571,5503718
Bonding,2019-04-24,177,3719,5033,8929,7718088
Sacred Games,2018-07-05,1173,2166,8250,11589,6077448
Ratched,2020-09-18,5730,9326,18683,33739,7423538
Bloodline,2015-03-20,4141,5762,18037,27940,3520702
Zero,2021-04-21,5990,1339,10250,17579,10619486
Always a Witch,2019-02-01,777,1638,2041,4456,8001250
The Ranch,2016-04-01,2577,3918,7029,13524,4998212
The School Nurse Files,2020-09-25,593,670,732,1995,12879522
Family Business,2019-06-28,215,387,706,1308,10423460
Monarca,2019-09-13,292,1041,1974,3307,8655736
Chambers,2019-04-26,1823,3977,11145,16945,7949204
The OA,2016-12-16,1936,11544,43722,57202,4635282
#blackAF,2020-04-17,606,4253,4853,9712,10311562
Love And Anarchy,2020-11-04,83,230,991,1304,10888876
Bridgerton,2020-12-25,14424,12754,63433,90611,8740790
Alice in Borderland,2020-12-10,2084,4145,21487,27716,10795658
The Defenders,2017-08-18,11483,17642,10569,39694,4230076
On My Block,2018-03-16,500,2712,21128,24340,7879820
V Wars,2019-12-05,1465,2972,6761,11198,7403736
Julie and the Phantoms,2020-09-10,877,2553,113687,117117,10183988
The Eddy,2020-05-08,1714,1568,1788,5070,7322210
Over Christmas,2020-11-27,125,60,386,571,11951234
After Life,2019-03-08,1245,6068,17326,24639,8398600
The Search,2020-09-26,339,48,966,1353,12923294
Mr. Iglesias,2019-06-21,305,1664,2830,4799,8403536
Who Killed Sara,2021-03-24,291,989,7507,8787,11937816
Extracurricular,2020-04-29,418,1816,6054,8288,10262630
Tidelands,2018-12-14,1079,753,2290,4122,6898970
She,2020-03-20,,,,,11905720
Nobody's Looking,2019-11-22,150,627,2074,2851,11131980
The Big Show Show,2020-04-06,334,1118,1766,3218,10726356
Brews Brothers,2020-04-10,128,380,394,902,10930958
The Baby-Sitters Club,2020-07-03,757,2429,4374,7560,8690518
Dead to Me,2019-05-03,831,7896,28504,37231,8064302
Behind Her Eyes,2021-02-17,474,4177,20482,25133,9698442
Dark,2017-12-01,9559,9267,72185,91011,5753856
The Mechanism,2018-03-23,1281,5258,8542,15081,6873658
The Innocents,2018-08-24,1205,1741,2069,5015,8021824
Godless,2017-11-22,2033,3078,10335,15446,5516154
Spinning Out,2020-01-01,610,1915,15043,17568,9117054
Triad Princess,2019-12-06,50,99,310,459,9314996
Astronomy Club - The Sketch Show,2019-12-06,126,407,1416,1949,10675488
Dollar,2019-08-08,42,58,55,155,10687564
Tribes of Europa,2021-02-19,812,1107,1392,3311,9184982
Disjointed,2017-08-25,792,2801,7879,11472,5884792
The Forest of Love - Deep Cut,2020-04-30,267,124,248,639,12079236
Alexa And Katie,2018-03-23,388,533,1602,2523,6916746
The Mess You Leave Behind,2020-12-11,508,865,2532,3905,9731242
Ethos,2020-11-12,220,1870,3150,5240,11301642
Maniac,2018-09-21,8295,9035,19027,36357,5580146
Valeria,2020-05-08,1203,1718,3570,6491,9731288
Narcos - Mexico,2018-11-16,2906,2741,19357,25004,8714904
Family Reunion,2019-07-10,345,1547,2392,4284,9153270
Mismatched,2020-11-20,189,434,817,1440,12719250
The Good Cop,2018-09-21,799,1070,2485,4354,7183074
Criminal - Germany,2019-09-20,3,31,77,111,10986056
50M2,2021-01-27,241,697,721,1659,11617848
The Kominsky Method,2018-11-16,471,718,3055,4244,7255502
Love Alarm,2019-08-22,784,2324,6984,10092,9145880
House of Cards,2013-02-01,4193,21081,62727,88001,1856010
Haters Back Off,2016-10-14,3324,5895,4444,13663,5467814
When They See Us,2019-05-31,3204,19731,39355,62290,7137906
Sweet Home,2020-12-18,2504,7100,24389,33993,11612120
Wild District,2018-10-19,417,300,1146,1863,8105958
Everything Sucks!,2018-02-16,2526,4773,25360,32659,7078710
Suburra - Blood on Rome,2017-10-06,855,831,2239,3925,7197684
The Haunting of Bly Manor,2020-10-09,3459,4436,5971,13866,10970552
Love,2016-02-19,,,,,4061080
American Vandal,2017-09-15,1268,3451,9901,14620,6877772
Selena - The Series,2020-12-04,2694,2990,2945,8629,9421868
The Victims' Game,2020-04-30,15,66,180,261,12079212
Sex Education,2019-01-11,2204,13414,44564,60182,7767422
The English Game,2020-03-20,0,1,5,6,8403664
Paava Kadhaigal,2020-12-18,366,577,325,1268,13206988
Homemade,2020-06-30,142,180,232,554,12574336
